3pl_id,min_monthly_volume,max_monthly_volume,average_shipping_time_days,dock_to_stock_hours,max_daily_orders,picking_accuracy_pct,available_storage_sqft,temp_controlled_storage,headquarters_state,num_warehouses,service_coverage,covered_states,tech_Shopify,tech_WooCommerce,tech_Amazon,tech_NetSuite,tech_Etsy,tech_Magento,service_Pick and Pack,service_Returns,service_Kitting,service_FBA Prep,service_Custom Packaging,service_Inventory Management,service_B2B Fulfillment,service_International Shipping,specialty_Fragile Items,specialty_Heavy Goods,specialty_High SKU Count,specialty_Perishables
13,650,2300,4,15,1076,90.81,12398,0,TX,8,International,IL;MA;AZ;NY;WA;CA;VA;OH;FL;GA;MI;PA;TX;NC,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0
14,99,5360,5,11,719,91.56,196900,0,FL,7,National,VA;PA;MI;MA;TN;TX;IL,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0
15,407,2068,3,6,669,94.26,42154,1,NY,8,Local,NY;NC;GA,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0
16,292,6724,4,5,322,81.66,6432,1,TX,3,Regional,TN;AZ;MA,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0
17,1479,2958,4,9,4289,95.13,40849,1,TX,8,International,IL;AZ;NY;VA;TN;NC;GA;MA;FL;MI;CA;OH;WA;TX;PA,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0
18,647,1294,5,12,3703,96.66,42470,1,NY,1,Local,IL;AZ,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
19,169,3449,1,8,517,85.71,5597,0,NY,3,National,FL;CA;IL;OH;PA;NY;GA;VA;TN;MI,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0
20,1725,3450,4,7,506,91.88,334425,0,IL,4,Regional,WA;IL;AZ;PA;FL;MI,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0
21,356,6250,5,8,418,97.93,14010,0,FL,9,Regional,VA;PA;TX;NC;TN;MA,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
22,593,1231,3,7,2385,88.12,25686,1,TX,2,Regional,TN;GA;NY;MA;MI,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0
23,997,1994,2,10,3157,87.71,29865,1,NY,8,National,TX;IL;NY;OH;AZ;MA;PA,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
24,127,664,5,8,1418,89.44,25978,1,CA,4,International,NY;PA;FL;IL;CA;NC;AZ;WA;VA;OH;GA;MI;TN;MA,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
25,1198,3178,3,6,465,99.4,7496,0,TX,2,Local,AZ;OH;MI,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1
26,1577,6827,4,6,1899,91.62,22362,1,FL,1,National,IL;WA;TN;MA;GA;TX;NY;AZ,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0
27,958,1916,4,8,1706,87.67,15764,1,CA,10,Regional,TN;OH;WA,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0
28,588,15542,1,9,1506,97.16,5843,1,FL,7,Regional,PA;VA;TX;FL;TN,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0
29,875,1750,4,8,6930,97.19,20753,1,CA,4,Regional,NC;FL;IL;GA;WA,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
30,354,1871,4,4,300,83.46,23353,0,NY,9,National,OH;NY;MI;NC;FL;TX;IL;TN,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0
31,274,3339,4,7,11475,89.59,42707,0,FL,8,International,OH;VA;AZ;MA;FL;GA;CA;WA;IL;TN;MI;NC;TX;NY;PA,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
32,248,3668,5,8,592,96.13,53369,0,IL,2,Regional,VA;TN;IL;NY,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1
33,548,6720,4,9,689,87.85,41341,0,NY,10,Local,NY,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0
34,206,9527,4,7,1904,92.85,104074,0,TX,7,Regional,PA;MI;IL;WA;AZ;CA;OH,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0
35,354,3284,4,8,706,94.93,39940,0,IL,6,National,FL;TX;IL;PA;OH;TN;NY;MI;VA;AZ;GA;WA,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0
36,200,2954,1,9,182,86.04,2724,1,FL,5,National,OH;MA;VA;PA;TX;NY;GA;CA;IL;TN;FL,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0
37,514,3808,2,5,6440,94.18,13267,1,CA,8,International,IL;CA;WA;PA;NY;GA;MI;VA;OH;FL;MA;AZ;NC;TX;TN,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0
38,207,11615,2,4,1918,98.62,2872,1,TX,10,Local,IL,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0
39,176,5010,5,8,5271,97.31,102001,0,NY,9,International,MI;CA;WA;VA;NC;IL;GA;MA;AZ;NY;PA;TN;FL,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0
40,647,3147,5,7,258,91.3,214434,0,NY,8,International,OH;PA;GA;TN;WA;TX;MA;VA;FL;NC;AZ;IL;CA,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0
41,179,1287,1,14,1646,97.73,12095,1,IL,5,National,TX;MI;NC;NY;FL;GA;WA;TN;VA,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1
42,714,7867,1,12,3079,88.62,46256,0,IL,4,National,OH;GA;PA;FL;AZ;IL;VA;TX;CA;MA,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0
43,1562,3124,5,4,4801,96.48,75948,0,CA,4,National,NY;AZ;FL;IL;WA;PA;TX;CA;TN,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1
44,295,602,3,7,983,93.58,5604,0,IL,8,National,TN;PA;TX;OH;AZ;NY;WA;NC;IL;CA;MI;FL,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0
45,452,9694,1,11,1873,81.96,23565,0,NY,8,National,AZ;MI;GA;VA;MA;WA;PA;NC;TX;NY;CA,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
46,261,2116,1,11,3061,90.6,3901,1,IL,4,National,MI;GA;NC;FL;CA;MA;TX;PA;TN,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0
47,101,542,4,12,4648,89.38,20836,1,FL,10,National,PA;TX;MI;VA;FL;TN;IL;OH,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0
48,134,4854,4,9,1089,98.21,46507,0,TX,3,National,TX;IL;AZ;TN;NC;VA;MI;CA,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0
49,182,2678,5,6,820,89.3,7822,0,FL,8,National,PA;VA;MI;GA;WA;IL;OH;NC,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0
50,945,1890,2,7,1161,94.23,10546,1,FL,1,Regional,CA;OH;NC;PA;NY;MA,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1
51,314,5305,3,12,1957,99.53,30069,0,TX,9,Regional,NC;OH;TX;IL;NY;WA;AZ,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0
52,334,2841,5,7,414,98.68,7621,1,CA,9,National,NC;AZ;TN;MA;CA;OH;GA;VA;PA;NY;FL,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0
53,170,13672,2,7,569,91.69,37756,0,CA,8,Regional,IL;NY;CA,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
54,414,3385,4,13,743,87.14,15345,1,TX,8,National,GA;PA;AZ;NC;IL;TX;OH;MI;NY;VA;TN;FL,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1
55,175,3906,4,7,863,95.09,20947,1,IL,3,Regional,FL;MA;MI,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0
56,684,3668,1,9,1620,95.93,169960,0,TX,8,Regional,OH;NC;TX;IL;WA;GA;NY,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
57,423,3865,2,4,5539,89.53,8916,1,IL,4,Regional,NY;AZ;FL,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0
58,220,6375,1,7,351,96.45,66591,1,NY,9,Regional,FL;MA;AZ;NC;VA,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0
59,220,3250,5,8,2372,94.49,18851,0,IL,3,National,MI;FL;MA;VA;TN;WA;PA;CA;OH;GA;NC,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0
60,694,8391,3,6,972,95.78,2420,0,FL,6,National,MA;PA;OH;FL;TN;NC;MI;TX;WA;GA;NY;CA,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0
61,283,3036,4,4,1573,96.31,117763,1,NY,1,International,OH;NC;GA;NY;WA;MI;PA;CA;AZ;FL;VA;IL,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0
62,475,5265,5,9,863,93.58,9183,0,TX,2,Regional,PA;AZ;TN;NC;MA;FL,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
63,172,6838,5,6,734,80.77,9357,1,IL,5,National,MA;CA;PA;AZ;VA;TX;OH;IL;NC;WA,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1
64,1461,2922,2,6,4963,88.72,14365,1,IL,10,Local,MA;TN,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0
65,116,503,5,5,631,87.7,98326,1,TX,5,National,WA;NY;TN;AZ;GA;PA;VA;MI;IL,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0
66,501,4638,3,9,1313,95.69,28289,0,CA,10,National,MI;NY;MA;CA;VA;NC;AZ;TN;WA;OH;GA;FL,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0
67,355,3151,1,5,350,96.84,65787,0,NY,3,National,MA;OH;AZ;GA;FL;IL;CA,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1
68,320,5586,3,4,609,97.28,78442,1,IL,4,National,MI;MA;VA;OH;WA;NC;PA;TX,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0
69,382,2366,4,3,483,98.39,44187,1,TX,7,National,NC;WA;AZ;IL;TX;MA;PA;NY;VA;OH;GA;TN,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0
70,403,3492,2,5,396,95.31,11186,1,IL,8,National,VA;NY;WA;MI;GA;TX;NC,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0
71,234,1461,1,7,1273,94.52,24500,0,NY,1,National,OH;FL;AZ;MA;VA;TN;PA;MI;NY,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0
72,539,2310,2,3,4396,78.04,18960,1,FL,3,National,NY;WA;AZ;TX;CA;OH;VA;TN;MA,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0
73,1438,6134,3,9,1858,79.29,7122,0,FL,3,Regional,NY;OH;IL;AZ;CA;NC;FL,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0
74,910,1820,4,9,1210,97.82,27851,0,NY,4,Local,NY;PA,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0
75,115,7510,1,8,1411,88.35,18308,0,TX,2,Regional,TN;NY;WA;MI;MA;OH,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0
76,1403,2806,2,8,316,98.32,3814,0,FL,9,International,IL;FL;NY;PA;AZ;OH;VA;GA;TN;WA;MA;MI;TX;NC;CA,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0
77,468,2072,2,7,635,90.79,20807,0,TX,9,International,PA;CA;MI;VA;WA;AZ;GA;NC;MA;OH;IL;NY;TN;FL;TX,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0
78,111,3297,1,6,9463,93.69,4317,0,CA,7,Regional,OH;NC;GA;CA;VA;WA,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0
79,1077,15763,2,7,1904,92.75,60740,1,CA,4,National,FL;AZ;WA;OH;TX;IL;TN;NY;MI;GA;MA,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0
80,284,3635,5,7,936,96.71,5248,1,NY,3,Regional,VA;OH;TX;MI;IL;NY;AZ,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
81,5610,11220,3,5,1960,97.79,26498,0,IL,10,Regional,MA;OH;CA;IL;TN,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
82,283,3799,2,7,2013,70.05,26366,1,CA,3,National,CA;OH;PA;MI;MA;AZ;GA;WA;NY,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0
83,1066,5551,2,8,784,80.44,4581,0,IL,1,National,GA;WA;NY;TN;IL;TX;OH;MA;MI;PA;FL;NC,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0
84,1460,8623,1,8,293,91.43,13992,0,TX,6,Regional,VA;MI;CA;MA,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1
85,1156,2865,1,5,2065,93.23,43542,1,NY,2,National,MA;WA;FL;PA;IL;TN;GA,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0
86,142,10699,5,6,688,94.24,16966,0,FL,9,International,GA;NY;AZ;OH;VA;FL;MI;WA;MA;CA;IL;TX;TN;NC;PA,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1
87,982,3236,3,8,1255,94.4,63925,1,IL,3,Regional,TN;MI;MA;TX;VA,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0
88,75,513,4,6,3726,76.06,9203,1,TX,3,International,MA;GA;MI;CA;PA;WA;TN;FL;TX;NY;IL;VA;OH;NC,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
89,509,14051,5,7,2425,96.17,8116,1,IL,1,Regional,NC;NY;OH;TX;VA;MA,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0
90,1296,15079,2,9,929,92.84,4582,0,IL,6,Regional,IL;MI;NC;FL;PA;TN;MA,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0
91,227,1296,4,11,1180,95.4,35292,0,CA,7,Regional,WA;IL;TN;PA;GA;VA;AZ,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1
92,280,5344,1,12,541,82.36,37930,1,CA,2,International,GA;TN;CA;OH;NY;FL;IL;MI;WA;MA;AZ;PA;TX,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0
93,2427,4854,1,7,3240,96.61,27550,1,TX,8,National,NY;OH;TX;WA;AZ;VA;PA,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0
94,78,4734,2,10,33,94.88,28001,0,IL,7,International,OH;PA;AZ;FL;NY;IL;TX;VA;MI;TN;MA;WA;GA;CA,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0
95,771,2522,5,11,1488,92.32,25507,1,FL,9,National,FL;AZ;GA;TX;CA;MI;WA;VA;TN;NC;MA;IL,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
96,913,1826,1,10,550,94.11,22575,1,NY,4,Regional,NY;TX;OH,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0
97,1953,3906,1,7,1199,81.62,29115,0,FL,7,Regional,NC;TX;IL;WA;MI,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1
98,66,7824,3,5,1307,88.51,13627,1,TX,3,National,NC;AZ;WA;MA;VA;OH;NY,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0
99,377,1710,1,11,1246,90.9,144517,1,CA,6,International,IL;MI;AZ;TN;MA;NY;GA;PA;WA;VA;TX;OH;CA,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0
100,1238,11053,1,9,320,97.28,17634,0,TX,9,Regional,WA;PA;GA;TN;TX;MI,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1
101,514,2342,5,7,348,98.23,31321,0,TX,2,International,GA;TN;PA;OH;TX;NC;AZ;NY;MA;FL;WA;MI;CA,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0
102,528,2368,1,10,1181,93.78,44699,1,CA,3,Regional,CA;TN;AZ,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1
103,819,2725,4,7,2258,87.39,92977,0,TX,10,International,MA;WA;OH;GA;CA;AZ;MI;FL;TN;TX;PA;NC;IL;NY;VA,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
104,82,5243,5,4,1595,92.89,11677,1,FL,10,Regional,PA;OH;IL;FL;CA;TN;NY,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0
105,617,1234,2,9,2968,99.61,21000,0,TX,10,National,AZ;WA;MA;PA;MI;CA;TN;FL;IL,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0
106,167,3095,1,7,12112,94.62,16828,0,IL,3,Regional,MA;NC;PA,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
107,715,12080,5,6,1006,93.77,55527,0,NY,5,Local,WA;IL;FL,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
108,452,7709,3,8,6714,89.49,18070,1,CA,5,Local,NY,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0
109,248,2163,2,6,4094,94.66,33663,1,CA,1,National,CA;PA;IL;TX;WA;MA;FL;OH;VA,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0
110,158,6331,2,14,390,93.12,7130,0,CA,7,International,FL;CA;PA;MA;OH;TX;IL;GA;MI;WA;AZ;VA;NC;NY;TN,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0
111,1946,3892,2,6,1928,98.7,5093,0,CA,6,National,OH;AZ;MI;NY;NC;CA;TN;VA;IL;PA;WA,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
112,78,1681,4,7,230,91.18,49045,0,NY,4,International,MA;MI;IL;PA;TX;VA;OH;NC;AZ;FL;WA;NY;CA,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0
113,523,1719,2,8,1311,88.73,11252,1,CA,7,Regional,WA;NY;CA;TN;GA,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0
114,43,3771,2,6,1515,90.39,6935,1,TX,7,International,AZ;NC;PA;CA;MA;FL;TX;IL;TN;GA;NY;VA;MI;WA;OH,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0
115,650,3218,4,7,1509,83.69,6105,1,FL,3,Regional,WA;MA;TN;TX;IL,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1
116,941,10122,3,9,846,87.55,74199,1,FL,7,Regional,MA;PA;GA;IL;NY;AZ,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0
117,388,6171,1,7,1002,93.79,23200,1,FL,3,International,VA;GA;IL;AZ;OH;TN;MI;CA;WA;PA;NC;TX,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1
118,463,4686,3,4,962,91.82,19272,0,FL,7,Local,PA;IL,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0
119,142,5501,4,10,3248,96.08,7681,0,FL,3,National,GA;PA;VA;FL;MA;CA;MI,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0
120,391,22101,5,7,1446,93.77,57697,0,CA,1,International,NY;WA;PA;IL;FL;TX;OH;MA;MI;CA;AZ;VA;NC,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0
121,128,4034,1,12,1491,89.16,10360,1,FL,9,National,CA;MI;TN;VA;TX;AZ;MA;WA;NY;OH;PA,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1
122,74,1171,2,8,2996,83.18,62750,0,FL,9,International,PA;WA;OH;IL;FL;CA;NC;GA;TX;TN;NY;VA;MI,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0
123,409,995,3,7,1939,84.84,5218,1,FL,7,National,TX;TN;AZ;CA;WA;FL;MI;PA;NC;NY;IL;OH,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0
124,478,1480,1,4,452,97.16,65490,1,IL,8,Regional,VA;GA;FL;MI;OH;PA;CA,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0
125,77,8288,5,4,5084,95.89,252647,0,NY,4,National,PA;VA;MA;AZ;OH;FL;NC;CA;GA;TN,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0
126,333,5182,3,8,2164,90.65,21296,0,NY,1,National,OH;TN;CA;NC;WA;AZ;TX,1,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
127,83,1108,3,9,423,97.05,56430,1,CA,1,Regional,GA;FL;WA;AZ,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0
128,473,1167,5,4,958,92.97,89091,0,NY,1,National,WA;CA;NC;OH;MI;GA;AZ;FL;PA;IL;TX,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0
129,420,1477,5,7,1017,95.57,11351,1,IL,4,National,NY;MI;WA;IL;VA;PA;FL;NC,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
130,900,1800,1,6,3461,97.8,135886,1,TX,9,National,PA;MA;GA;TX;MI;NC;NY,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0
131,610,2476,3,8,479,76.84,19344,0,TX,5,Local,FL;VA,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,0
132,552,2974,5,4,3731,96.99,33340,1,NY,10,Local,PA;TX;AZ,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0
133,2055,4110,1,8,506,97.0,17969,0,FL,8,National,TN;VA;MI;AZ;NY;CA;PA;OH,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0
134,216,6011,2,5,364,92.56,61763,0,NY,2,Local,NC,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0
135,613,1472,1,12,1222,87.94,20831,0,IL,2,National,MI;CA;WA;TX;PA;NC;AZ;IL;OH;VA;FL;MA,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0
136,1501,3002,1,5,407,94.82,12914,0,CA,1,National,MI;TN;OH;NC;WA;TX;IL,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
137,296,3406,1,7,268,94.38,18911,1,CA,4,Regional,GA;PA;MA;FL;VA;NY;TX,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0
138,3483,6966,3,8,375,98.83,50834,1,TX,6,National,GA;TN;PA;IL;MA;NC;TX;FL;AZ;WA,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0
139,556,1528,2,8,1131,94.21,59399,1,NY,4,National,WA;MA;IL;FL;GA;NC;MI;TX;NY;TN;AZ,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1
140,322,3632,2,7,334,93.09,259076,1,NY,8,Local,TN;CA,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0
141,334,3154,5,6,812,98.09,37409,0,IL,3,National,FL;NY;TX;NC;VA;IL;MA;TN;AZ;OH,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0
142,692,1384,1,7,180,96.75,8378,0,FL,3,International,MI;TN;VA;CA;AZ;IL;TX;NY;GA;MA;OH;PA;WA;FL;NC,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0
143,229,1976,5,6,1664,92.68,15256,0,IL,9,Local,TX,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
144,1326,7704,3,8,540,92.32,4989,1,TX,2,Regional,MI;NC;OH;IL;NY,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0
145,1349,2698,4,6,386,98.13,53031,1,TX,6,National,NC;GA;IL;AZ;MI;PA;OH;FL;TN;VA;CA,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
146,596,1192,3,6,2350,99.72,26459,0,FL,2,Local,CA;WA;OH,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0
147,122,2863,2,7,405,86.77,70842,0,FL,7,Local,VA;OH,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0
