business_id,sku_count,shipping_volume,order_speed_expectation,business_type,target_market,city,state,country,log_avg_order_value,daily_order_variance,return_rate_pct,avg_sku_turnover_days,top_shipping_regions,temperature_control_needed,avg_package_weight_kg,dimensional_weight_class,year_founded,business_age_yrs,growth_velocity_pct,industry_Fashion,industry_Electronics,industry_Health,industry_Beauty,industry_Home Goods,industry_Food & Beverage,industry_Consumer Packaged Goods,growth_Stable,growth_Growing,growth_Explosive,growth_Seasonal,tech_Shopify,tech_WooCommerce,tech_Amazon,tech_NetSuite,tech_Etsy,tech_Magento,service_Pick and Pack,service_Returns,service_Kitting,service_FBA Prep,service_Subscription Box Fulfillment,service_Same-Day Shipping,service_Custom Packaging,service_Freight Forwarding,service_Inventory Management,service_B2B Fulfillment,service_International Shipping,specialty_Fragile Items,specialty_Heavy Goods,specialty_High SKU Count,specialty_Perishables,specialty_Same Day Delivery
11,106,12978,1,B2C,International,Charlesbury,NE,USA,20.177581732230127,2.6561389587309083,6.5730860187762215,14.68312217899505,NY:0.55;NC:0.45,none,1.9698127427579017,parcel,2009,16,8.279064403795237,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0
12,905,16871,1,B2C,National,Nortonland,NJ,USA,38.6123192513147,0.5523909566863334,18.56141513701518,27.45996563029189,GA:0.11;MI:0.32;NY:0.57,refrigerated,5.041183346574267,letter,2022,3,13.57914823967511,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
13,281,26086,7,B2C,International,South Jessica,AL,USA,23.25537380325288,1.0031124259682294,28.52845439616284,26.945072066292283,NC:0.09;CA:0.13;PA:0.44;MI:0.34,refrigerated,1.0465538701148978,parcel,1996,29,4.788319213742681,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
14,92,33781,7,Hybrid,Regional,Jeremiahside,AR,USA,21.605133018727212,1.0086345490908022,7.625069209889161,18.249947379740913,MI:0.69;NY:0.31,none,0.6660401884917926,parcel,2013,12,7.2625802494311555,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
15,607,43581,5,Hybrid,Local,North Shane,NE,USA,11.758233880579189,15.495044780942955,13.239902486026512,16.760335404613404,PA:0.18;TX:0.69;CA:0.14,none,5.912387906480943,parcel,2009,16,8.057396286285115,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
16,145,17880,3,B2C,Regional,West Gregory,NC,USA,24.35308875806262,2.871499635557442,19.306238810593918,12.715374869075402,TX:0.32;FL:0.28;IL:0.29;CA:0.11,none,4.5495815750590705,bulky,2023,2,9.55336048131032,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1
17,744,14303,3,B2B,National,Travisland,RI,USA,20.327322300476553,14.439404164944827,18.27305672548088,17.705800577648358,OH:0.83;IL:0.17,none,5.806449139867514,letter,1996,29,23.507729532291847,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
18,462,49077,5,B2C,National,Burtonbury,HI,USA,7.8960876585065485,4.476264114526477,4.897608620961364,31.049423419505043,PA:0.33;NC:0.67,none,1.3094842642484636,letter,1999,26,8.233649003945201,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,930,3114,3,B2C,National,Jonathanmouth,MS,USA,66.32175537231515,45.04658972752581,2.1611675582274925,14.628792922572103,FL:0.00;NY:0.52;MI:0.29;OH:0.19,none,2.423623073858894,letter,2020,5,5.827146004647931,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
20,811,22270,4,B2C,Regional,Smithhaven,WV,USA,14.488212441014399,42.737198613795144,12.895305909287519,30.35575450227014,NY:0.13;MI:0.21;GA:0.66,none,2.1438602062913916,letter,2006,19,18.84038756328298,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,418,13156,3,B2C,Local,Lake Stacy,TX,USA,3.972383649311092,1.2206892361004715,3.9665485252258166,19.079894590235842,MI:0.58;IL:0.42,refrigerated,1.7063135569390122,parcel,1996,29,6.677684108439718,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0
22,533,40228,1,B2B,National,Lake Sarahmouth,NV,USA,20.706513312547266,12.667943495003986,23.16311145127812,46.73657537048982,PA:0.85;MI:0.15,frozen,1.6712422863861942,parcel,2016,9,8.19725326639177,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1
23,692,20769,4,Hybrid,National,Dillonburgh,NC,USA,14.959067257843193,6.917724078905332,20.584316356027543,15.613246008712384,CA:0.02;IL:0.18;NC:0.21;TX:0.59,none,6.532270919299834,parcel,2008,17,5.287780728953972,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1
24,228,44777,5,B2B,International,Jessetown,NH,USA,35.90830690623153,38.133822970962946,13.103880973984813,29.147630807404095,IL:0.12;NY:0.72;NC:0.16;TX:0.00,frozen,2.0729226873681754,bulky,1995,30,5.438224661121229,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
25,917,27660,6,B2B,Local,Pattonport,NJ,USA,21.083652612407533,12.84710490649307,3.8279184484166886,27.33782657043189,GA:0.65;CA:0.04;NY:0.28;OH:0.02,none,5.296552321285474,parcel,1998,27,6.330971788111047,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1
26,637,29504,7,B2B,National,New Paul,WI,USA,30.02128186584137,5.211829770433346,38.6112707063696,21.7916984235551,GA:0.21;NY:0.01;IL:0.02;NC:0.76,none,8.62232127967382,bulky,1997,28,5.820051640908644,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
27,924,21452,5,B2C,National,Dominguezside,MI,USA,14.024108570790263,6.666180722556482,40.27767287525385,20.048911608300756,OH:0.31;MI:0.69,none,9.690424432053153,parcel,2005,20,10.863749912682467,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
28,408,28034,7,B2B,Local,Hughesberg,IN,USA,19.02245123974589,6.4318523465127395,12.28920785751705,20.65300988250497,IL:0.98;OH:0.02,none,7.268168298481298,bulky,2010,15,23.054953500992223,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1
29,870,11316,4,B2B,International,New Nathan,WA,USA,24.609027385802307,4.577508840298441,42.33327516454145,29.68149093191015,GA:0.61;FL:0.39,none,7.633911825480385,letter,1996,29,2.988986412635254,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
30,355,21920,7,B2B,Regional,South Carolineborough,NJ,USA,23.828396218188495,29.34780374791387,19.081143202484967,27.025617341464013,CA:0.10;MI:0.51;NY:0.38;TX:0.01,none,11.901430767220024,parcel,2021,4,8.565467922461416,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1
31,127,44373,5,B2C,Regional,Reedtown,NM,USA,11.603735425521215,12.338830514287995,36.72227488852989,14.005953266269069,MI:0.03;CA:0.97,refrigerated,12.381870210536187,bulky,2024,1,8.638502452611082,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
32,717,39303,7,B2B,Regional,Langland,CA,USA,16.03810196793208,10.492506027911565,4.646791786425728,14.423268469802478,NC:0.33;OH:0.22;PA:0.44,none,2.005985707359751,bulky,1997,28,20.704974024423194,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,453,7416,3,B2C,International,North Paul,NY,USA,48.311538343169246,2.40529377986979,25.368830779519048,34.72474770200274,MI:0.29;IL:0.18;PA:0.02;OH:0.52,none,0.8325529024452286,bulky,2002,23,2.665479352688546,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1
34,485,49683,5,B2B,International,Jeremystad,KS,USA,22.199443246709716,0.9473777085424244,51.800990889984725,10.161916174885711,PA:0.14;IL:0.86,none,2.5714046373578916,parcel,2005,20,3.8488147730485345,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
35,97,13021,2,Hybrid,Local,Waltermouth,ND,USA,28.0737864503974,5.006315435657664,8.80865328602579,29.431246856470956,NY:0.43;OH:0.48;MI:0.09,none,1.2026180957643895,letter,2004,21,5.587250207698628,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
36,573,49385,3,B2B,National,Sarahchester,NV,USA,19.038910765314412,1.3020449241995284,37.33504379170429,24.676110670351818,NY:0.02;PA:0.44;TX:0.53;NC:0.01,none,9.066942188193558,bulky,2012,13,5.113038847562535,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
37,293,32232,6,B2C,Regional,Richardside,WV,USA,26.83621283915354,3.414036930172337,8.054712386368,8.357405044221487,IL:0.11;CA:0.89,refrigerated,2.7972045950208617,parcel,2017,8,11.992861264610653,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
38,309,36764,6,B2B,Local,Port Samantha,AR,USA,18.841110370218345,2.4182818798387453,13.186333674891316,13.137818070848173,IL:0.76;GA:0.24,refrigerated,1.412875025937879,parcel,1998,27,12.524234135977077,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0
39,654,38315,6,B2B,International,Perezchester,CA,USA,27.849558979090116,2.638850712150558,20.34053505321435,37.8191380903272,TX:0.43;NC:0.57,none,0.40100652488737626,bulky,2019,6,11.830042718679648,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
40,314,29514,7,Hybrid,International,South Thomasbury,NH,USA,9.981328653650289,4.962631949087466,15.860349954187916,14.419284205155101,TX:0.63;FL:0.02;NY:0.21;MI:0.15,frozen,1.5759067181111113,letter,2012,13,8.981138306693518,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
41,618,45678,4,B2C,International,Johnstonberg,NH,USA,19.25066457957367,5.1735986894740265,18.14911694974251,21.823806037936336,MI:0.30;NY:0.12;OH:0.51;CA:0.07,none,3.595767106047679,parcel,2012,13,1.8767143801845034,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
42,179,4408,7,B2B,Regional,West Biancastad,CA,USA,22.87080601763488,1.751841061282196,6.49987529535925,18.926810048453103,NC:0.03;GA:0.01;MI:0.88;CA:0.07,refrigerated,1.8085761212850688,parcel,2014,11,12.847696729235043,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
43,36,16908,1,Hybrid,National,Cynthiafurt,RI,USA,29.542180059991757,2.57961489630514,46.90614358636716,20.81674201803177,GA:0.05;NC:0.95,none,2.411259151667417,parcel,2015,10,7.821409099734144,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
44,103,32725,4,B2C,International,Lake Jonathan,SD,USA,15.739868492447943,2.159558047512722,18.4768727158888,18.02786601100403,OH:0.62;NC:0.21;CA:0.17,none,7.011957721991631,parcel,2009,16,7.457417611397186,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
45,895,26988,5,B2B,National,Pruitthaven,DE,USA,46.44267034463198,7.06221489990913,14.372744892815692,27.33987003302952,NC:0.67;FL:0.23;IL:0.10,none,4.523916569533328,parcel,2009,16,13.786137076980504,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1
46,828,40403,2,B2C,Local,Williamsmouth,SD,USA,21.99759496322922,4.1363658154028045,9.899372591050009,36.74155946962876,FL:0.48;GA:0.10;IL:0.40;NC:0.03,refrigerated,4.063458588415289,letter,2017,8,14.062159719181803,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
47,574,30435,2,B2B,International,Port Adammouth,KS,USA,16.08168779916359,5.094500687730266,7.937728471334685,30.067389524297187,IL:0.32;GA:0.46;FL:0.22,frozen,0.4589930324408307,parcel,2009,16,15.611723770369947,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1
48,396,36114,4,B2B,National,East Gary,OK,USA,21.982911925830702,97.33391651190804,15.527865376564542,14.640771684324001,FL:0.23;GA:0.25;CA:0.15;TX:0.36,frozen,4.35562606244748,bulky,2011,14,4.505043693352776,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1
49,942,34968,4,B2C,International,East Aliciatown,CT,USA,18.861193173109452,7.146323420902486,32.69609947926814,16.932715381315486,IL:0.01;PA:0.44;OH:0.55,none,2.160026366973214,parcel,2015,10,10.115511185776693,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50,745,41577,7,Hybrid,International,New Ryan,MA,USA,16.981213594997033,20.235895260128682,7.574100129519255,27.70950912639359,TX:0.19;MI:0.37;GA:0.43,none,2.3228296208127146,parcel,2000,25,6.45952415408171,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
51,310,4177,3,B2C,Local,Maciasfurt,MA,USA,11.550596095420447,33.39668991616746,17.490822849931888,18.958565510399826,OH:0.12;NY:0.02;GA:0.37;IL:0.48,none,2.106489425696107,parcel,1999,26,15.673893505887145,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1
52,692,17233,1,Hybrid,National,New Ashleetown,NJ,USA,7.105091733186537,1.8811890025350488,15.885848441544573,11.438619688962842,OH:0.59;IL:0.30;GA:0.01;MI:0.10,refrigerated,1.2488002774709521,parcel,2004,21,10.599809529289418,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
53,595,25493,3,B2B,Local,Sherriborough,KS,USA,11.42123240056049,4.292524715374062,25.331345633507578,17.28902102097348,NY:0.52;IL:0.48,none,0.9221352929806252,parcel,2016,9,10.053972232918724,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0
54,50,42858,3,Hybrid,Local,North David,SD,USA,8.71556418373212,53.61159284117932,8.965998622532108,10.776289786510459,FL:0.65;NC:0.35,none,4.982889538311431,parcel,2023,2,8.21127930088598,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
55,774,19842,7,B2C,National,Thompsonshire,NM,USA,19.137379110344494,5.210886795559505,21.87826713608602,21.3301316513311,PA:0.01;TX:0.15;OH:0.37;CA:0.47,none,3.2247822807630913,bulky,2003,22,6.739652271472532,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
56,698,49587,3,B2B,National,Port Deniseville,UT,USA,10.546312894053331,4.641453512360162,26.852538089781103,30.315594646882076,TX:0.09;GA:0.00;IL:0.05;PA:0.86,refrigerated,4.360546887523137,parcel,2008,17,16.991907855552387,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
57,128,32784,1,B2C,Local,Baileyborough,MD,USA,33.354244395982384,0.980261120179817,5.163316332728232,15.024804590888788,FL:0.45;OH:0.14;TX:0.24;NC:0.17,none,1.0244201518666223,parcel,2010,15,12.513660634028742,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
58,232,24783,4,B2B,Local,Jeremyview,VT,USA,56.86370865294335,7.031790005039068,7.443149052198763,15.95456299493994,OH:0.43;IL:0.57,none,3.0710201863226265,parcel,2001,24,7.2609142797061,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
59,621,42409,1,B2C,Regional,Santiagostad,TN,USA,48.686428603757754,2.1305349121277413,35.55956017269724,29.636946627374773,NY:0.23;MI:0.11;NC:0.02;FL:0.63,none,2.523297482367552,letter,2019,6,10.077810721991112,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
60,266,35903,7,B2B,Regional,Lake Susanmouth,FL,USA,34.20200742602414,8.894027185815387,18.422183152286824,19.529647887585142,NY:0.03;PA:0.58;CA:0.38,none,0.5163549132736939,parcel,2000,25,11.125528886916346,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,773,7948,1,B2C,International,Daniellehaven,ND,USA,21.47573787762771,15.333912770261923,11.122209716189165,19.449739769531266,CA:0.18;MI:0.81;GA:0.02,none,1.7603343675488305,letter,2022,3,6.330719775272947,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
62,941,47187,4,Hybrid,Local,Port Manuelborough,NY,USA,11.926437360503904,28.108697613979533,18.07543772643716,30.348218455147464,MI:0.64;NC:0.28;PA:0.08;NY:0.01,refrigerated,0.6153522733082075,letter,2014,11,7.699396850115118,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
63,127,46491,7,B2B,International,Stevenhaven,CT,USA,34.21760191455947,3.495721092311207,39.42081636897285,35.92213900676341,PA:0.83;OH:0.17,none,0.7086096196762796,parcel,2005,20,4.667735389473352,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1
64,78,31581,1,B2B,Regional,Port Andrew,UT,USA,7.638191415588922,2.233038928062345,31.682893691822866,12.818778823460006,PA:0.60;OH:0.03;CA:0.36,none,3.984491681681132,parcel,2004,21,3.3703609018633554,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1
65,227,33753,2,B2B,Local,Port Michaelhaven,OR,USA,20.842235525654576,2.089797696012084,13.642016145618765,18.779278260341254,NC:0.21;MI:0.26;CA:0.52,none,11.251531446795935,parcel,2014,11,5.554602443063767,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
66,790,46552,3,B2C,Regional,Anitastad,LA,USA,23.850598104282643,2.615715580331813,31.68179795482125,15.719225601652335,CA:0.25;TX:0.35;NY:0.22;GA:0.19,none,1.8446663851104028,parcel,2008,17,6.763404491301464,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0
67,342,47790,7,B2C,National,Nancyburgh,MD,USA,13.475205642677873,1.9688517831796963,12.341461046611025,21.96642564566299,TX:0.17;IL:0.16;GA:0.23;PA:0.44,none,5.375714468898627,parcel,2008,17,18.603573071119428,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
68,534,49975,1,B2B,National,New Brendaview,IN,USA,22.64663710776281,9.907085216660747,24.463246150361645,34.91315165291156,CA:0.04;MI:0.49;NY:0.47;FL:0.01,refrigerated,5.200266569244135,letter,2001,24,13.507626924064487,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
69,17,8363,4,B2B,National,Taylorshire,MA,USA,13.350210660124715,12.570059535877762,12.835569792514317,20.462104598035808,CA:0.14;OH:0.48;MI:0.37,refrigerated,3.5486971875047373,parcel,2009,16,6.04547538097089,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
70,736,27004,6,Hybrid,International,North Whitneyland,OR,USA,19.150948296623255,9.373367437710925,17.69579983709541,17.371259512392484,NY:0.67;OH:0.33,none,3.2369750571456835,letter,2013,12,8.87777651676077,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
71,236,22750,3,B2B,National,Port William,WV,USA,15.442096303667707,7.191306298361925,2.628820170489406,12.280986442709805,TX:0.57;FL:0.43,none,2.2756362383498043,letter,2003,22,12.947809130399612,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
72,87,43459,2,Hybrid,Regional,South Kellyborough,WI,USA,38.678036721142696,7.67742172565983,10.909770558588319,39.01923701757226,IL:0.58;MI:0.07;CA:0.31;FL:0.04,none,2.9276680354485998,parcel,2011,14,6.5883220709447725,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0
73,387,4228,7,B2B,International,Mayoview,AZ,USA,19.277226224406927,29.91541993065598,22.445970672078023,24.142447791174042,GA:0.27;NC:0.04;FL:0.01;CA:0.69,none,4.9903913180993955,parcel,2009,16,4.41338182182715,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1
